FECHA,ROL,VICTIMA,SEXO,EDAD_VICTIMA
2018-10-01,CONDUCTOR,MOTO,MASCULINO,22
2018-10-03,PEATON,PEATON,FEMENINO,56
2018-10-04,CONDUCTOR,MOTO,MASCULINO,27
2018-10-06,PEATON,PEATON,FEMENINO,62
2018-10-09,CONDUCTOR,MOTO,MASCULINO,37
2018-10-10,PEATON,PEATON,MASCULINO,34
2018-10-13,PEATON,PEATON,MASCULINO,60
2018-10-19,CONDUCTOR,MOTO,MASCULINO,28
2018-10-24,CONDUCTOR,MOTO,FEMENINO,28
2018-10-25,CONDUCTOR,MOTO,MASCULINO,20
2018-10-30,CONDUCTOR,MOTO,MASCULINO,23
2018-10-31,PEATON,PEATON,MASCULINO,42
2018-11-01,PEATON,PEATON,MASCULINO,48
2018-11-04,CONDUCTOR,MOTO,MASCULINO,30
2018-11-05,PEATON,PEATON,FEMENINO,80
2018-11-05,PEATON,PEATON,FEMENINO,32
2018-11-09,PEATON,PEATON,FEMENINO,51
2018-11-09,PEATON,PEATON,FEMENINO,72
2018-11-12,CONDUCTOR,AUTO,MASCULINO,33
2018-11-12,CONDUCTOR,AUTO,MASCULINO,25
2018-11-15,CONDUCTOR,CARGAS,MASCULINO,44
2018-11-16,PEATON,PEATON,MASCULINO,29
2018-11-18,CONDUCTOR,MOTO,MASCULINO,27
2018-11-19,CONDUCTOR,MOTO,MASCULINO,29
2018-11-25,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,49
2018-11-25,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,39
2018-11-28,CONDUCTOR,MOTO,MASCULINO,37
2018-12-03,CONDUCTOR,MOTO,MASCULINO,SD
2018-12-07,CONDUCTOR,MOTO,MASCULINO,29
2018-12-12,PEATON,PEATON,MASCULINO,70
2018-12-12,PEATON,PEATON,FEMENINO,60
2018-12-12,PEATON,PEATON,MASCULINO,56
2018-12-18,PEATON,PEATON,MASCULINO,80
2018-12-18,PEATON,PEATON,FEMENINO,70
2018-12-18,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29
2018-12-21,PASAJERO_ACOMPAÑANTE,PASAJEROS,FEMENINO,79
2018-12-22,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,28
2018-12-22,CONDUCTOR,AUTO,MASCULINO,78
2018-12-22,PEATON,PEATON,MASCULINO,75
2018-12-25,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,32
2018-12-29,CONDUCTOR,MOTO,MASCULINO,22
2019-01-08,CONDUCTOR,MOTO,MASCULINO,25
2019-01-09,CONDUCTOR,AUTO,MASCULINO,32
2019-01-12,CONDUCTOR,MOTO,MASCULINO,23
2019-01-14,CONDUCTOR,AUTO,MASCULINO,71
2019-01-19,CONDUCTOR,MOTO,MASCULINO,43
2019-01-23,PEATON,PEATON,FEMENINO,12
2019-01-26,CONDUCTOR,MOTO,MASCULINO,35
2019-01-30,CONDUCTOR,MOTO,MASCULINO,42
2019-01-31,CONDUCTOR,MOTO,MASCULINO,34
2019-02-02,PEATON,PEATON,MASCULINO,SD
2019-02-02,PEATON,PEATON,MASCULINO,59
2019-02-10,PEATON,PEATON,MASCULINO,SD
2019-02-17,CONDUCTOR,MOTO,MASCULINO,31
2019-02-20,PEATON,PEATON,MASCULINO,39
2019-02-20,CONDUCTOR,MOTO,MASCULINO,69
2019-02-23,CONDUCTOR,AUTO,MASCULINO,21
2019-02-24,CONDUCTOR,MOTO,MASCULINO,40
2019-03-03,CONDUCTOR,AUTO,MASCULINO,22
2019-03-03,PEATON,PEATON,FEMENINO,29
2019-03-06,CONDUCTOR,MOTO,MASCULINO,SD
2019-03-07,CONDUCTOR,MOTO,MASCULINO,43
2019-03-15,CONDUCTOR,MOTO,MASCULINO,23
2019-03-15,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,SD
2019-03-16,CONDUCTOR,AUTO,MASCULINO,34
2019-03-19,CONDUCTOR,MOTO,MASCULINO,32
2019-03-22,PEATON,PEATON,MASCULINO,27
2019-03-28,PEATON,PEATON,MASCULINO,SD
2019-03-28,CICLISTA,BICICLETA,MASCULINO,37
2019-04-06,PEATON,PEATON,FEMENINO,SD
2019-04-07,CONDUCTOR,MOTO,MASCULINO,27
2019-04-09,CONDUCTOR,MOTO,MASCULINO,25
2019-04-12,CICLISTA,BICICLETA,MASCULINO,20
2019-04-16,PEATON,PEATON,FEMENINO,83
