n_victimas,fecha,hora,comuna,tipo_calle,longitud,latutid,victima,acusado,gravedad
2,2019-01-12,,4,SD,-58.398009,-34.638178,AUTO,SD,SD
1,2019-01-12,,4,SD,-58.372344,-34.648803,SD,SD,SD
1,2019-01-12,,15,SD,-58.427028,-34.596165,SD,SD,SD
1,2019-01-12,,6,SD,-58.428215,-34.620496,SD,SD,SD
1,2019-01-12,,14,SD,-58.410086,-34.589056,MOTO,SD,SD
1,2019-01-12,,,SD,,,SD,SD,SD
1,2019-01-13,,12,SD,-58.514522,-34.581598,SD,SD,SD
1,2019-01-13,,10,SD,-58.529565,-34.631052,SD,SD,SD
1,2019-01-13,,3,SD,-58.400151,-34.625865,SD,SD,SD
1,2019-01-13,,11,SD,-58.520806,-34.595076,SD,SD,SD
2,2019-01-13,,1,SD,-58.389762,-34.623979,SD,SD,SD
1,2019-01-13,,7,SD,SD,SD,SD,SD,SD
1,2019-01-13,,12,SD,-58.506154,-34.563908,SD,SD,SD
3,2019-01-13,,7,SD,-58.45825,-34.640955,SD,SD,SD
2,2019-01-13,,10,SD,-58.478544,-34.636992,SD,SD,SD
2,2019-01-13,,4,SD,-58.394178,-34.651515,MOTO,SD,SD
1,2019-01-13,,7,SD,-58.456711,-34.626665,MOTO,SD,SD
2,2019-01-13,,9,SD,-58.495821,-34.649627,SD,SD,SD
1,2019-01-13,,7,SD,-58.468485,-34.633285,SD,SD,SD
2,2019-01-13,,15,SD,-58.443538,-34.592799,MOTO,SD,SD
1,2019-01-13,,,SD,,,SD,SD,GRAVE
1,2019-01-14,,14,SD,-58.440332,-34.58257,CICLISTA,SD,SD
1,2019-01-14,,1,SD,-58.371301,-34.59875,CICLISTA,SD,SD
1,2019-01-14,,11,SD,-58.503947,-34.610056,CICLISTA,SD,SD
2,2019-01-14,,1,SD,-58.360825,-34.604906,MOTO,SD,SD
2,2019-01-14,,9,SD,-58.501639,-34.67398,SD,SD,SD
1,2019-01-14,,4,SD,-58.385364,-34.642873,SD,SD,SD
2,2019-01-14,,15,SD,-58.444303,-34.594763,SD,SD,SD
1,2019-01-14,,4,SD,-58.426519,-34.646959,MOTO,SD,SD
1,2019-01-14,,6,SD,-58.442401,-34.606546,MOTO,SD,SD
1,2019-01-14,,15,SD,-58.45153,-34.601157,SD,SD,SD
1,2019-01-14,,3,SD,-58.397332,-34.609623,SD,SD,SD
1,2019-01-14,,11,SD,-58.506827,-34.602719,SD,SD,SD
1,2019-01-14,,5,SD,-58.421579,-34.597826,SD,SD,SD
1,2019-01-14,,12,SD,-58.485669,-34.544014,MOTO,SD,SD
1,2019-01-14,,1,SD,-58.382001,-34.600286,AUTO,SD,SD
1,2019-01-14,,1,SD,-58.37226,-34.586564,SD,SD,SD
1,2019-01-14,,4,SD,-58.366072,-34.640511,SD,SD,SD
1,2019-01-14,,3,SD,-58.39498,-34.615125,SD,SD,SD
1,2019-01-14,,10,SD,-58.521201,-34.618822,SD,SD,SD
1,2019-01-14,,13,SD,-58.461303,-34.564764,SD,SD,SD
1,2019-01-14,,7,SD,-58.471783,-34.629833,SD,SD,SD
2,2019-01-14,,4,SD,-58.369118,-34.63161,SD,SD,SD
1,2019-01-14,,4,SD,-58.404669,-34.650456,MOTO,SD,SD
1,2019-01-14,,11,SD,-58.465942,-34.610285,SD,SD,SD
1,2019-01-14,,1,SD,-58.376713,-34.585711,PEATON,SD,SD
1,2019-01-14,,8,SD,-58.455339,-34.684708,SD,SD,SD
1,2019-01-14,,8,SD,-58.457774,-34.68645,PEATON,SD,SD
1,2019-01-14,,6,SD,-58.450181,-34.628186,SD,SD,SD
1,2019-01-14,,14,SD,-58.420122,-34.58137,AUTO,SD,SD
1,2019-01-15,,13,SD,-58.443776,-34.562969,CICLISTA,SD,SD
3,2019-01-15,,1,SD,-58.384663,-34.613334,SD,SD,SD
2,2019-01-15,,1,SD,-58.38145,-34.619753,SD,SD,SD
3,2019-01-15,,9,SD,-58.504211,-34.66344,SD,SD,SD
1,2019-01-15,,9,SD,-58.504211,-34.66344,AUTO,SD,SD
1,2019-01-15,,11,SD,-58.522341,-34.598144,SD,SD,SD
1,2019-01-15,,1,SD,-58.370097,-34.602996,PEATON,SD,SD
2,2019-01-15,,8,SD,-58.452573,-34.668054,SD,SD,SD
2,2019-01-15,,12,SD,-58.498783,-34.584182,SD,SD,SD
1,2019-01-15,,15,SD,-58.476676,-34.579569,AUTO,SD,SD
1,2019-01-15,,3,SD,-58.400349,-34.624187,AUTO,SD,SD
1,2019-01-15,,4,SD,-58.370666,-34.629491,SD,SD,SD
1,2019-01-15,,No Especificada,SD,SD,SD,SD,SD,SD
1,2019-01-15,,3,SD,-58.410328,-34.611178,PEATON,SD,SD
1,2019-01-15,,1,SD,-58.378123,-34.602378,PEATON,SD,SD
1,2019-01-15,,4,SD,-58.41621,-34.647357,MOTO,SD,SD
1,2019-01-15,,2,SD,-58.392938,-34.599636,MOTO,SD,SD
1,2019-01-15,,3,SD,-58.393208,-34.615031,MOTO,SD,SD
1,2019-01-15,,5,SD,-58.416563,-34.631461,SD,SD,SD
1,2019-01-15,,7,SD,-58.437788,-34.642826,SD,SD,SD
1,2019-01-15,,2,SD,-58.39166,-34.599072,SD,SD,SD
1,2019-01-15,,14,SD,-58.434082,-34.571989,SD,SD,SD
1,2019-01-15,,1,SD,-58.391375,-34.62281,SD,SD,SD
1,2019-01-15,,2,SD,-58.397192,-34.599729,MOTO,SD,SD
1,2019-01-15,,4,SD,-58.412838,-34.639799,SD,SD,SD
1,2019-01-15,,11,SD,-58.465194,-34.609641,AUTO,SD,SD
1,2019-01-16,,4,SD,-58.374307,-34.646984,CICLISTA,SD,SD
1,2019-01-16,,1,SD,-58.378702,-34.61973,CICLISTA,SD,SD
1,2019-01-16,,15,SD,-58.450769,-34.58869,CICLISTA,SD,SD
1,2019-01-16,,1,SD,-58.379599,-34.627772,SD,SD,SD
1,2019-01-16,,11,SD,-58.529335,-34.610982,SD,SD,SD
1,2019-01-16,,5,SD,-58.419501,-34.629281,SD,SD,SD
2,2019-01-16,,12,SD,-58.489504,-34.584205,SD,SD,SD
1,2019-01-16,,1,SD,-58.369883,-34.617165,MOTO,SD,SD
1,2019-01-16,,9,SD,-58.512058,-34.656765,SD,SD,SD
2,2019-01-16,,13,SD,-58.435936,-34.552547,SD,SD,SD
1,2019-01-16,,10,SD,-58.503489,-34.624031,MOTO,SD,SD
1,2019-01-16,,3,SD,-58.402807,-34.621132,MOTO,SD,SD
1,2019-01-16,,1,SD,-58.389766,-34.613607,SD,SD,SD
1,2019-01-16,,12,SD,-58.493649,-34.5716,MOTO,SD,SD
1,2019-01-16,,15,SD,-58.475889,-34.597124,SD,SD,SD
1,2019-01-16,,14,SD,-58.439513,-34.564615,SD,SD,SD
1,2019-01-16,,10,SD,-58.496554,-34.637033,SD,SD,SD
1,2019-01-16,,14,SD,-58.424079,-34.570823,SD,SD,SD
1,2019-01-16,,3,SD,-58.408867,-34.610609,PEATON,SD,SD
1,2019-01-16,,12,SD,-58.478237,-34.557224,SD,SD,SD
1,2019-01-16,,15,SD,-58.460701,-34.577906,MOTO,SD,SD
1,2019-01-16,,15,SD,-58.454821,-34.581695,SD,SD,SD
1,2019-01-16,,7,SD,-58.461139,-34.628392,MOTO,SD,SD
1,2019-01-17,,11,SD,-58.511814,-34.596876,CICLISTA,SD,SD
1,2019-01-17,,12,SD,-58.483335,-34.54709,CICLISTA,SD,SD
1,2019-01-17,,1,SD,-58.390424,-34.610176,CICLISTA,SD,SD
1,2019-01-17,,13,SD,-58.459666,-34.566651,SD,SD,SD
