Cantidad_victimas,Fecha,Hora,Tipo_de_calle,Calle,Cruce,Dirección_normalizada,Comuna,Longitud,Latitud,Victima,Acusado
1,2016-12-13,10:00:00,AVENIDA,LA PLATA AV.,SI,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,-58.42323628,-34.64119105,MOTO,AUTO
1,2016-12-15,15:00:00,AVENIDA,NU?EZ,SI,"NUÃ‘EZ y BALBIN, RICARDO, DR. AV.",12,-58.47935434,-34.55676497,MOTO,PASAJEROS
1,2016-12-19,17:00:00,GRAL PAZ,"PAZ, GRAL. AV.",NO,"PAZ, GRAL. AV. 4500",12,-58.50598256,-34.5637998,MOTO,AUTO
1,2016-12-25,19:00:00,AUTOPISTA,"HUERGO, ING. AV.",SI,"HUERGO, ING. AV. y AUTOPISTA 25 DE MAYO",1,-58.36607137,-34.62150748,MOTO,MOTO
1,2016-12-26,08:00:00,AVENIDA,"GARAY, JUAN DE AV.",SI,"GARAY, JUAN DE AV. y CASTRO",5,-58.41918902,-34.63174259,MOTO,CARGAS
1,2016-12-26,19:00:00,AVENIDA,DIRECTORIO AV.,SI,DIRECTORIO AV. y SAN PEDRITO AV.,7,-58.46749188,-34.63551751,MOTO,CARGAS
1,2016-12-27,08:00:00,CALLE,"FALCON, RAMON L.,CNEL.",SI,"FALCON, RAMON L.,CNEL. y MEMBRILLAR",7,-58.46064174,-34.62960517,PEATON,BICICLETA
1,2016-12-28,01:00:00,AVENIDA,BELGRANO AV.,SI,BELGRANO AV. y PASEO COLON AV.,1,-58.36956186,-34.61232875,MOTO,PASAJEROS
1,2016-12-29,04:00:00,CALLE,ARENALES,NO,ARENALES 3319,14,-58.40966671,-34.58788235,PEATON,AUTO
1,2016-12-30,16:00:00,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA,SI,REPUBLICA BOLIVARIANA DE VENEZUELA y SAAVEDRA,3,-58.40288226,-34.61544091,PEATON,MULTIPLE
1,2017-01-02,01:00:00,AVENIDA,"JUSTO, JUAN B. AV.",SI,"JUSTO, JUAN B. AV. y ACHUPALLAS",11,-58.4659423,-34.61028571,MOTO,CARGAS
1,2017-01-05,03:00:00,AVENIDA,OLAVARRIA,SI,OLAVARRIA y VELEZ SARSFIELD AV.,4,-58.38957669,-34.64410277,CARGAS,CARGAS
